,pii,Section_content,Spell_Check_Count,Spell_Check,Converted_Section_Content,Authors
20,S0005273618303171,experiments designed #55776321500 #36572384100 #22835326800 experiments performed #55776321500 #55776540200 #55776321500 #57204687425 analyzed results wrote manuscript the manuscript revised #36572384100 #22835326800 all authors read approved final manuscript,0,{},"Experiments were designed by  #55776321500 ,  #36572384100 , and  #22835326800 . Experiments were performed by  #55776321500  and  #55776540200 .  #55776321500  and  #57204687425  analyzed the results and wrote the manuscript. The manuscript was revised by  #36572384100  and  #22835326800 . All authors read and approved the final manuscript.","[{Authorseq"":1,""auid"":55776321500,""given_name_pn"":""Yuzhu"",""surname_pn"":""Han"",""initials_pn"":""Y.""},{""Authorseq"":2,""auid"":57204687425,""given_name_pn"":""Jianjun"",""surname_pn"":""Zhao"",""initials_pn"":""J.""},{""Authorseq"":3,""auid"":55776540200,""given_name_pn"":""Bao"",""surname_pn"":""Zhang"",""initials_pn"":""B.""},{""Authorseq"":4,""auid"":36572384100,""given_name_pn"":""Qian"",""surname_pn"":""Shen"",""initials_pn"":""Q.""},{""Authorseq"":5,""auid"":15830006700,""given_name_pn"":""Qingmao"",""surname_pn"":""Shang"",""initials_pn"":""Q.""},{""Authorseq"":6,""auid"":22835326800,""given_name_pn"":""Pinglan"",""surname_pn"":""Li"",""initials_pn"":""P.""}]"""
21,S0005273620300808,experiments designed #57193928935 #56401784400 #55871562100 #16204129000 #6602415839 #23993108400 #6602710772 #55977802400 #6602675943 #6602675943 coordinated study transcriptomic experiments performed #56401784400 #55871562100 vacuolar ph experiments performed #57193928935 #56401784400 rls experiments done #23993108400 #6602710772 #57193928935 #16204129000 #6602415839 performed autophagy mitophagy cell cycle experiments #56401784400 performed confocal microscopy experiments #57193928935 #56401784400 analyzed data the manuscript written #57193928935 #56401784400 #6602675943 revised #55871562100 #16204129000 #6602415839 #23993108400 #6602710772 #55977802400 all authors read approved final manuscript,7,"{vacuolar: 'and', ph: 'DNA', rls: 'research', autophagy: 'the', mitophagy: 'and', confocal: 'optical', microscopy: 'protein'}","Experiments were designed by  #57193928935 ,  #56401784400 ,  #55871562100 ,  #16204129000 ,  #6602415839 ,  #23993108400 ,  #6602710772 ,  #55977802400  and  #6602675943 , and  #6602675943  coordinated the study. Transcriptomic experiments were performed by  #56401784400  and  #55871562100 , while vacuolar pH experiments were performed by  #57193928935  and  #56401784400 . RLS experiments were done by  #23993108400  and  #6602710772 .  #57193928935 ,  #16204129000  and  #6602415839  performed the autophagy, mitophagy and cell cycle experiments.  #56401784400  performed the confocal microscopy experiments.  #57193928935  and  #56401784400  analyzed the data. The manuscript was written by  #57193928935 ,  #56401784400  and  #6602675943 , and revised by  #55871562100 ,  #16204129000 ,  #6602415839 ,  #23993108400 ,  #6602710772  and  #55977802400 . All authors have read and approved the final manuscript.","[{Authorseq"":1,""auid"":57193928935,""given_name_pn"":""Caroline"",""surname_pn"":""Struyfs"",""initials_pn"":""C.""},{""Authorseq"":2,""auid"":56401784400,""given_name_pn"":""Tanne L."",""surname_pn"":""Cools"",""initials_pn"":""T.L.""},{""Authorseq"":3,""auid"":55871562100,""given_name_pn"":""Kaat"",""surname_pn"":""De Cremer"",""initials_pn"":""K.""},{""Authorseq"":4,""auid"":16204129000,""given_name_pn"":""Belém"",""surname_pn"":""Sampaio-Marques"",""initials_pn"":""B.""},{""Authorseq"":5,""auid"":6602415839,""given_name_pn"":""Paula"",""surname_pn"":""Ludovico"",""initials_pn"":""P.""},{""Authorseq"":6,""auid"":23993108400,""given_name_pn"":""Brian M."",""surname_pn"":""Wasko"",""initials_pn"":""B.M.""},{""Authorseq"":7,""auid"":6602710772,""given_name_pn"":""Matt"",""surname_pn"":""Kaeberlein"",""initials_pn"":""M.""},{""Authorseq"":8,""auid"":55977802400,""given_name_pn"":""Bruno P.A."",""surname_pn"":""Cammue"",""initials_pn"":""B.P.A.""},{""Authorseq"":9,""auid"":6602675943,""given_name_pn"":""Karin"",""surname_pn"":""Thevissen"",""initials_pn"":""K.""}]"""
22,S0006291X14010924,overall conception design #7201710905 #6603130969 analysis interpretation experimental data #7201710905 #56216003200 #6603130969 #24314740700 #26635701600 #55399808200 #7201760688 development experimental methodology #7201710905 #6603130969 #24314740700 acquisition experimental data #6603130969 #24314740700 #7201760688 fig 1a #24314740700 #6603130969 1b #24314740700 fig 2a–d #6603130969 fig 3a–c #24314740700 fig 4a–b supplemental figure a–c #6603130969 supplementary figure #7201760688 supplementary table s1 #24314740700 #55399808200  writing review andor revision manuscript #7201710905 #6603130969 #24314740700 #7201760688 #56216003200 study supervision #7201710905,12,"{fig: '##9', 1a: '1', 1b: '##1', fig: '/', 2a: '2', fig: '/', 3a: '3', fig: '/', 4a: '4', supplementary: 'supplement', s1: '1', andor: 'and'}","Overall conception and design:  #7201710905 ,  #6603130969 . Analysis and interpretation of experimental data:  #7201710905 ,  #56216003200 ,  #6603130969 ,  #24314740700 ,  #26635701600 ,  #55399808200 ,  #7201760688 . Development of experimental methodology:  #7201710905 ,  #6603130969 ,  #24314740700 . Acquisition of experimental data:  #6603130969 ,  #24314740700 ,  #7201760688 .Fig. 1A ( #24314740700 ,  #6603130969 ) 1B and C ( #24314740700 ).Fig. 2A–D ( #6603130969 ).Fig. 3A–C ( #24314740700 ).Fig. 4A–B and Supplemental Figure A–C ( #6603130969 ).Supplementary Figure D ( #7201760688 ).Supplementary Table S1 ( #24314740700  and  #55399808200 ). Writing, review, and/or revision of the manuscript:  #7201710905 ,  #6603130969 ,  #24314740700 ,  #7201760688 ,  #56216003200 . Study supervision:  #7201710905 .","[{Authorseq"":1,""auid"":6603130969,""given_name_pn"":""Monika A."",""surname_pn"":""Davare"",""initials_pn"":""M.A.""},{""Authorseq"":2,""auid"":24314740700,""given_name_pn"":""Sangeet"",""surname_pn"":""Lal"",""initials_pn"":""S.""},{""Authorseq"":3,""auid"":56216003200,""given_name_pn"":""Jennifer L."",""surname_pn"":""Peckham"",""initials_pn"":""J.L.""},{""Authorseq"":4,""auid"":26635701600,""given_name_pn"":""Suresh I."",""surname_pn"":""Prajapati"",""initials_pn"":""S.I.""},{""Authorseq"":5,""auid"":55399808200,""given_name_pn"":""Sakir H."",""surname_pn"":""Gultekin"",""initials_pn"":""S.H.""},{""Authorseq"":6,""auid"":7201760688,""given_name_pn"":""Brian P."",""surname_pn"":""Rubin"",""initials_pn"":""B.P.""},{""Authorseq"":7,""auid"":7201710905,""given_name_pn"":""Charles"",""surname_pn"":""Keller"",""initials_pn"":""C.""}]"""
23,S0006291X15304940,#55783131300 #23971487600 eki #55783131300 #56819959200 #56819538800 #56820203600 as #23971487600 eki #55783131300 #23971487600 eki #55783131300 #23971487600 eki #23971487600 edited manuscript,0,{}," #55783131300  and  #23971487600 eki. designed the study;  #55783131300 ,  #56819959200 ,  #56819538800 ,  #56820203600 , A.S. and  #23971487600 eki. performed experiments;  #55783131300  and  #23971487600 eki. collected and analysed data;  #55783131300  and  #23971487600 eki. wrote the manuscript.  #23971487600  edited the manuscript.","[{Authorseq"":1,""auid"":55783131300,""given_name_pn"":""Naoki"",""surname_pn"":""Okashita"",""initials_pn"":""N.""},{""Authorseq"":2,""auid"":56819959200,""given_name_pn"":""Nao"",""surname_pn"":""Sakashita"",""initials_pn"":""N.""},{""Authorseq"":3,""auid"":56819538800,""given_name_pn"":""Ken"",""surname_pn"":""Ito"",""initials_pn"":""K.""},{""Authorseq"":4,""auid"":56820203600,""given_name_pn"":""Ayaka"",""surname_pn"":""Mitsuya"",""initials_pn"":""A.""},{""Authorseq"":5,""auid"":23971487600,""given_name_pn"":""Yoshiaki"",""surname_pn"":""Suwa"",""initials_pn"":""Y.""},{""Authorseq"":6,""auid"":23499042000,""given_name_pn"":""Yoshiyuki"",""surname_pn"":""Seki"",""initials_pn"":""Y.""}]"""
24,S0006291X18302730,all authors carried experiments participated design study performed statistical analysis participated design coordination helped draft manuscript,0,{},"All authors carried out the experiments, participated in the design of the study and performed the statistical analysis, participated in its design and coordination and helped to draft the manuscript.","[{Authorseq"":1,""auid"":57723471000,""given_name_pn"":""Xujun"",""surname_pn"":""Hu"",""initials_pn"":""X.""},{""Authorseq"":2,""auid"":56662032900,""given_name_pn"":""Zirui"",""surname_pn"":""Wang"",""initials_pn"":""Z.""},{""Authorseq"":3,""auid"":57200672549,""given_name_pn"":""Meikai"",""surname_pn"":""Chen"",""initials_pn"":""M.""},{""Authorseq"":4,""auid"":57200673494,""given_name_pn"":""Xuerong"",""surname_pn"":""Chen"",""initials_pn"":""X.""},{""Authorseq"":5,""auid"":55759513100,""given_name_pn"":""Wenqing"",""surname_pn"":""Liang"",""initials_pn"":""W.""}]"""
25,S0006291X18318369,the manuscript written contributions authors all authors given approval final version manuscript,0,{},The manuscript was written through contributions of all authors. All authors have given approval to the final version of the manuscript.,"[{Authorseq"":1,""auid"":57203898015,""given_name_pn"":""Jianhao"",""surname_pn"":""Xu"",""initials_pn"":""J.""},{""Authorseq"":2,""auid"":56583178700,""given_name_pn"":""Cunjin"",""surname_pn"":""Su"",""initials_pn"":""C.""},{""Authorseq"":3,""auid"":57104179600,""given_name_pn"":""Fenglun"",""surname_pn"":""Zhao"",""initials_pn"":""F.""},{""Authorseq"":4,""auid"":55650776000,""given_name_pn"":""Jialong"",""surname_pn"":""Tao"",""initials_pn"":""J.""},{""Authorseq"":5,""auid"":15822480300,""given_name_pn"":""Duanmin"",""surname_pn"":""Hu"",""initials_pn"":""D.""},{""Authorseq"":6,""auid"":56583655300,""given_name_pn"":""Aiming"",""surname_pn"":""Shi"",""initials_pn"":""A.""},{""Authorseq"":7,""auid"":57198789984,""given_name_pn"":""Jie"",""surname_pn"":""Pan"",""initials_pn"":""J.""},{""Authorseq"":8,""auid"":55589662500,""given_name_pn"":""Yusong"",""surname_pn"":""Zhang"",""initials_pn"":""Y.""}]"""
26,S0006291X18326457,#57205238416 #57189215570 #7201945112 conceived designed study performed experiments #57205238416 analyzed data #7201945112 wrote manuscript,0,{}," #57205238416 ,  #57189215570 , and  #7201945112  conceived and designed the study, and performed the experiments.  #57205238416  analyzed data.  #7201945112  wrote the manuscript.","[{Authorseq"":1,""auid"":57205238416,""given_name_pn"":""Moe"",""surname_pn"":""Toyama"",""initials_pn"":""M.""},{""Authorseq"":2,""auid"":57189215570,""given_name_pn"":""Yuho"",""surname_pn"":""Hamaoka"",""initials_pn"":""Y.""},{""Authorseq"":3,""auid"":7201945112,""given_name_pn"":""Hironori"",""surname_pn"":""Katoh"",""initials_pn"":""H.""}]"""
27,S0006291X19316043,#23990993300 #57206845743 #56177821300 #36238841100 performed experiments acquired data #23990993300 designed research studies conducted experiments acquired data analyzed data wrote manuscript #7201798220 #7003744966 #7003988018 b designed research studies acquired funding critically revised manuscript,0,{}," #23990993300 ,  #57206845743 ,  #56177821300  and  #36238841100  performed the experiments and acquired the data.  #23990993300  designed research studies, conducted experiments, acquired data, analyzed data and wrote the manuscript.  #7201798220 ,  #7003744966  and  #7003988018 -B designed research studies, acquired the funding and critically revised the manuscript.","[{Authorseq"":1,""auid"":23990993300,""given_name_pn"":""Ashraf Yusuf"",""surname_pn"":""Rangrez"",""initials_pn"":""A.Y.""},{""Authorseq"":2,""auid"":57206845743,""given_name_pn"":""Lucia"",""surname_pn"":""Kilian"",""initials_pn"":""L.""},{""Authorseq"":3,""auid"":56177821300,""given_name_pn"":""Katharina"",""surname_pn"":""Stiebeling"",""initials_pn"":""K.""},{""Authorseq"":4,""auid"":36238841100,""given_name_pn"":""Sven"",""surname_pn"":""Dittmann"",""initials_pn"":""S.""},{""Authorseq"":5,""auid"":7003988018,""given_name_pn"":""Eric"",""surname_pn"":""Schulze-Bahr"",""initials_pn"":""E.""},{""Authorseq"":6,""auid"":7003744966,""given_name_pn"":""Norbert"",""surname_pn"":""Frey"",""initials_pn"":""N.""},{""Authorseq"":7,""auid"":7201798220,""given_name_pn"":""Derk"",""surname_pn"":""Frank"",""initials_pn"":""D.""}]"""
28,S0006291X20307105,#57203717003 #57216486339 #57211144176 #57188707628 #57188550564 #57188550564 conceived experiments #57203717003 #57216486339 #57211144176 #57188707628 #57188550564 performed experiments #57203717003 #57216486339 #57211144176 #57188550564 analyzed data #57203717003 #57188550564 wrote manuscript authors reviewed manuscript,0,{}," #57203717003 ,  #57216486339 ,  #57211144176 ,  #57188707628 ,  #57188550564 , and  #57188550564 C conceived the experiments;  #57203717003 ,  #57216486339 ,  #57211144176 ,  #57188707628 , and  #57188550564  performed the experiments;  #57203717003 ,  #57216486339 ,  #57211144176  and  #57188550564 C analyzed the data;  #57203717003  and  #57188550564 C wrote the manuscript; and all authors reviewed the manuscript.","[{Authorseq"":1,""auid"":57203717003,""given_name_pn"":""Jin Young"",""surname_pn"":""Park"",""initials_pn"":""J.Y.""},{""Authorseq"":2,""auid"":57216486339,""given_name_pn"":""Ji Hyun"",""surname_pn"":""Lee"",""initials_pn"":""J.H.""},{""Authorseq"":3,""auid"":57211144176,""given_name_pn"":""Youngbin"",""surname_pn"":""Lee"",""initials_pn"":""Y.""},{""Authorseq"":4,""auid"":57188707628,""given_name_pn"":""Donghoon"",""surname_pn"":""Lee"",""initials_pn"":""D.""},{""Authorseq"":5,""auid"":57188550564,""given_name_pn"":""Moon Jong"",""surname_pn"":""Kim"",""initials_pn"":""M.J.""},{""Authorseq"":6,""auid"":7103359164,""given_name_pn"":""Kwang Min"",""surname_pn"":""Choe"",""initials_pn"":""K.M.""}]"""
29,S0006291X20314285,#24478227900 #57205529118 #7005265843 conceived designed study #24478227900 #57205529118 performed experiments #24478227900 #57205529118 #7005265843 analyzed discussed data wrote manuscript #24478227900 #57205529118 #7005265843 discussed results commented manuscript approved manuscript submission,0,{}," #24478227900 ,  #57205529118  and  #7005265843  conceived and designed the study.  #24478227900  and  #57205529118  performed the experiments.  #24478227900 ,  #57205529118  and  #7005265843  analyzed and discussed the data and wrote the manuscript.  #24478227900 ,  #57205529118  and  #7005265843  discussed the results, commented on the manuscript, and approved the manuscript submission.","[{Authorseq"":1,""auid"":24478227900,""given_name_pn"":""Kazuhiko"",""surname_pn"":""Higashida"",""initials_pn"":""K.""},{""Authorseq"":2,""auid"":57205529118,""given_name_pn"":""Sachika"",""surname_pn"":""Inoue"",""initials_pn"":""S.""},{""Authorseq"":3,""auid"":7005265843,""given_name_pn"":""Naoya"",""surname_pn"":""Nakai"",""initials_pn"":""N.""}]"""
30,S0006291X21005349,#56815189400 #55051597000 #57204090751 performed experiments #56815189400 #55051597000 #57204090751 #23095016800 #7005773180 #55566424700 #7402888542 planned experiments supervised study #56815189400 #55051597000 wrote manuscript,0,{}," #56815189400 ,  #55051597000  and  #57204090751  performed the experiments;  #56815189400 ,  #55051597000 ,  #57204090751 ,  #23095016800 ,  #7005773180 ,  #55566424700  and  #7402888542  planned the experiments and supervised the study;  #56815189400  and  #55051597000  wrote the manuscript.","[{Authorseq"":1,""auid"":56815189400,""given_name_pn"":""Atsuhide"",""surname_pn"":""Koida"",""initials_pn"":""A.""},{""Authorseq"":2,""auid"":55051597000,""given_name_pn"":""Koubun"",""surname_pn"":""Yasuda"",""initials_pn"":""K.""},{""Authorseq"":3,""auid"":57204090751,""given_name_pn"":""Takumi"",""surname_pn"":""Adachi"",""initials_pn"":""T.""},{""Authorseq"":4,""auid"":23095016800,""given_name_pn"":""Kazufumi"",""surname_pn"":""Matsushita"",""initials_pn"":""K.""},{""Authorseq"":5,""auid"":55566424700,""given_name_pn"":""Makoto"",""surname_pn"":""Yasuda"",""initials_pn"":""M.""},{""Authorseq"":6,""auid"":7402888542,""given_name_pn"":""Shigeru"",""surname_pn"":""Hirano"",""initials_pn"":""S.""},{""Authorseq"":7,""auid"":7005773180,""given_name_pn"":""Etsushi"",""surname_pn"":""Kuroda"",""initials_pn"":""E.""}]"""
31,S0006291X21014340,#7006607036 conceived experiments zs performed experiments guidance #8968208800 analyzed data together #7006607036 zs #8968208800 #7006607036 cowrote paper all authors discussed results commented manuscript,3,"{zs: ',', zs: ',', cowrote: 'For'}"," #7006607036  conceived the experiments. ZS performed the experiments under the guidance of  #8968208800  and analyzed the data together with  #7006607036 . ZS,  #8968208800  and  #7006607036  co-wrote the paper. All authors discussed the results and commented on the manuscript.","[{Authorseq"":1,""auid"":57201374314,""given_name_pn"":""Zahra"",""surname_pn"":""Mehrazad Saber"",""initials_pn"":""Z.""},{""Authorseq"":2,""auid"":8968208800,""given_name_pn"":""Yoshinori"",""surname_pn"":""Takeuchi"",""initials_pn"":""Y.""},{""Authorseq"":3,""auid"":56801334100,""given_name_pn"":""Yoshikazu"",""surname_pn"":""Sawada"",""initials_pn"":""Y.""},{""Authorseq"":4,""auid"":36460517300,""given_name_pn"":""Yuichi"",""surname_pn"":""Aita"",""initials_pn"":""Y.""},{""Authorseq"":5,""auid"":57300434700,""given_name_pn"":""Man Hei"",""surname_pn"":""Ho"",""initials_pn"":""M.H.""},{""Authorseq"":6,""auid"":57218587917,""given_name_pn"":""Samia"",""surname_pn"":""Karkoutly"",""initials_pn"":""S.""},{""Authorseq"":7,""auid"":57301300700,""given_name_pn"":""Duhan"",""surname_pn"":""Tao"",""initials_pn"":""D.""},{""Authorseq"":8,""auid"":57301300800,""given_name_pn"":""Kyoka"",""surname_pn"":""Katabami"",""initials_pn"":""K.""},{""Authorseq"":9,""auid"":57300728300,""given_name_pn"":""Chen"",""surname_pn"":""Ye"",""initials_pn"":""C.""},{""Authorseq"":10,""auid"":57191405473,""given_name_pn"":""Yuki"",""surname_pn"":""Murayama"",""initials_pn"":""Y.""},{""Authorseq"":11,""auid"":55837207700,""given_name_pn"":""Akito"",""surname_pn"":""Shikama"",""initials_pn"":""A.""},{""Authorseq"":12,""auid"":55752145100,""given_name_pn"":""Yukari"",""surname_pn"":""Masuda"",""initials_pn"":""Y.""},{""Authorseq"":13,""auid"":8215144600,""given_name_pn"":""Yoshihiko"",""surname_pn"":""Izumida"",""initials_pn"":""Y.""},{""Authorseq"":14,""auid"":17343842700,""given_name_pn"":""Takafumi"",""surname_pn"":""Miyamoto"",""initials_pn"":""T.""},{""Authorseq"":15,""auid"":7006867430,""given_name_pn"":""Takashi"",""surname_pn"":""Matsuzaka"",""initials_pn"":""T.""},{""Authorseq"":16,""auid"":57190376535,""given_name_pn"":""Takehito"",""surname_pn"":""Sugasawa"",""initials_pn"":""T.""},{""Authorseq"":17,""auid"":7004354597,""given_name_pn"":""Kazuhiro"",""surname_pn"":""Takekoshi"",""initials_pn"":""K.""},{""Authorseq"":18,""auid"":7402364579,""given_name_pn"":""Yasushi"",""surname_pn"":""Kawakami"",""initials_pn"":""Y.""},{""Authorseq"":19,""auid"":7007140206,""given_name_pn"":""Hitoshi"",""surname_pn"":""Shimano"",""initials_pn"":""H.""},{""Authorseq"":20,""auid"":7006607036,""given_name_pn"":""Naoya"",""surname_pn"":""Yahagi"",""initials_pn"":""N.""}]"""
32,S0006291X21015886,#57346277600 #7006715431 designed experiments wrote manuscript #57346277600 performed experiments contributions #57346440900 #57346441000 #57214237745 sbp #36519808900 fvr #6507095734 #6602003524 generated analyzed pkp3 floxed mice #8676301800 analyzed ihc images tissue samples,5,"{sbp: '##0', fvr: '##3', pkp3: 'and', floxed: 'model', ihc: 'in'}"," #57346277600  and  #7006715431  designed experiments and wrote the manuscript.  #57346277600  performed most of the experiments with contributions from  #57346440900 ,  #57346441000 ,  #57214237745 , SBP, and  #36519808900 . FVR,  #6507095734 , and  #6602003524 H generated and analyzed the PKP3 floxed mice and  #8676301800  analyzed IHC images of tissue samples.","[{Authorseq"":1,""auid"":57346277600,""given_name_pn"":""Rahul"",""surname_pn"":""Raghavan"",""initials_pn"":""R.""},{""Authorseq"":2,""auid"":57346440900,""given_name_pn"":""Navami"",""surname_pn"":""Koyande"",""initials_pn"":""N.""},{""Authorseq"":3,""auid"":57346441000,""given_name_pn"":""Rohit"",""surname_pn"":""Beher"",""initials_pn"":""R.""},{""Authorseq"":4,""auid"":57214237745,""given_name_pn"":""Neha"",""surname_pn"":""Chetlangia"",""initials_pn"":""N.""},{""Authorseq"":5,""auid"":8676301800,""given_name_pn"":""Mukda"",""surname_pn"":""Ramadwar"",""initials_pn"":""M.""},{""Authorseq"":6,""auid"":56951155100,""given_name_pn"":""Shital"",""surname_pn"":""Pawade"",""initials_pn"":""S.""},{""Authorseq"":7,""auid"":36519808900,""given_name_pn"":""Rahul"",""surname_pn"":""Thorat"",""initials_pn"":""R.""},{""Authorseq"":8,""auid"":6602003524,""given_name_pn"":""Jolanda"",""surname_pn"":""van Hengel"",""initials_pn"":""J.""},{""Authorseq"":9,""auid"":6507095734,""given_name_pn"":""Tetyana"",""surname_pn"":""Sklyarova"",""initials_pn"":""T.""},{""Authorseq"":10,""auid"":7006227247,""given_name_pn"":""Frans"",""surname_pn"":""van Roy"",""initials_pn"":""F.""},{""Authorseq"":11,""auid"":7006715431,""given_name_pn"":""Sorab N."",""surname_pn"":""Dalal"",""initials_pn"":""S.N.""}]"""
33,S0006291X21017502,#8307897300 conceived designed study prepared manuscript #57398339200 performed experiments statistical analyses #57398339200 #36016954700 supervised study,0,{}, #8307897300  conceived and designed the study and prepared the manuscript.  #57398339200  performed all experiments and statistical analyses.  #57398339200 . performed the preliminary immunofluorescence experiments.  #36016954700  supervised the study.,"[{Authorseq"":1,""auid"":57398339200,""given_name_pn"":""Moe Moe"",""surname_pn"":""Han"",""initials_pn"":""M.M.""},{""Authorseq"":2,""auid"":57193200283,""given_name_pn"":""Miyako"",""surname_pn"":""Hirakawa"",""initials_pn"":""M.""},{""Authorseq"":3,""auid"":8307897300,""given_name_pn"":""Motohiro"",""surname_pn"":""Yamauchi"",""initials_pn"":""M.""},{""Authorseq"":4,""auid"":36016954700,""given_name_pn"":""Naoki"",""surname_pn"":""Matsuda"",""initials_pn"":""N.""}]"""
34,S0006291X22003588,#57218289511 #57483454500 h acquisition data #57484135300 y #57222403479 #57484135300 #57218648399 s analysis interpretation data #57218289511 revising article critically important intellectual content #57191667003 conception design study final approval version submitted,1,{revising: 'main'}," #57218289511 X and  #57483454500 H: acquisition of data;  #57484135300 Y,  #57222403479 , S #57484135300  and  #57218648399 S: analysis and interpretation of data;  #57218289511 : revising the article critically for important intellectual content;  #57191667003 : the conception and design of the study, and final approval of the version to be submitted.","[{Authorseq"":1,""auid"":57218289511,""given_name_pn"":""Yaxin"",""surname_pn"":""Chen"",""initials_pn"":""Y.""},{""Authorseq"":2,""auid"":57484135300,""given_name_pn"":""Yingying"",""surname_pn"":""Meng"",""initials_pn"":""Y.""},{""Authorseq"":3,""auid"":57483454500,""given_name_pn"":""Yanhong"",""surname_pn"":""Yu"",""initials_pn"":""Y.""},{""Authorseq"":4,""auid"":57222403479,""given_name_pn"":""Wen"",""surname_pn"":""Li"",""initials_pn"":""W.""},{""Authorseq"":5,""auid"":57223335042,""given_name_pn"":""Yongmei"",""surname_pn"":""Shen"",""initials_pn"":""Y.""},{""Authorseq"":6,""auid"":57218648399,""given_name_pn"":""Shanshan"",""surname_pn"":""Li"",""initials_pn"":""S.""},{""Authorseq"":7,""auid"":56350038700,""given_name_pn"":""Ying"",""surname_pn"":""Chang"",""initials_pn"":""Y.""},{""Authorseq"":8,""auid"":57191667003,""given_name_pn"":""Wei"",""surname_pn"":""Sun"",""initials_pn"":""W.""}]"""
35,S0006291X22009226,#57749916800 #57808250800 conceived research designed experiments #57749916800 conducted experiments wrote manuscript #57808928600 provided homogenates acne lesions edited manuscript,2,"{homogenates: 'as', acne: 'and'}", #57749916800  and  #57808250800  conceived the research and designed the experiments.  #57749916800  conducted the experiments and wrote the manuscript.  #57808928600  provided homogenates of acne lesions and edited the manuscript.,"[{Authorseq"":1,""auid"":57749916800,""given_name_pn"":""Tristan Yusho"",""surname_pn"":""Huang"",""initials_pn"":""T.Y.""},{""Authorseq"":2,""auid"":57808928600,""given_name_pn"":""Yong E."",""surname_pn"":""Jiang"",""initials_pn"":""Y.E.""},{""Authorseq"":3,""auid"":57808250800,""given_name_pn"":""David A."",""surname_pn"":""Scott"",""initials_pn"":""D.A.""}]"""
36,S000629521630082X,#57189384526 #55352715300 performed vivo experiments supervised dc characterization studies analyzed data #56018299800 #57189390441 performed ex vivo immune status experiments analyzed data #56874811900 #34573228400 supervised dc cell related laboratory assay experiment design jj #57189390441 sy #55352715300 ys #57189390441 #56874811900 #55421257800 jh #55352715300 supervised histopathology analysis contributed study design #57189384526 #55352715300 #57210268800 contributed writing manuscript #57210268800 supervised research design laboratory activities,10,"{vivo: 'control', dc: 'study', vivo: '##o', dc: 'T', assay: 'and', jj: 'data', sy: 'y', ys: '/', jh: 'x', histopathology: 'laboratory'}"," #57189384526  and  #55352715300  performed in vivo experiments and supervised DC characterization studies, analyzed data;  #56018299800  and  #57189390441  performed ex vivo immune status experiments and analyzed data;  #56874811900  and  #34573228400  supervised DC and T cell related laboratory assay and experiment design; JJ  #57189390441 , SY  #55352715300 , YS  #57189390441 ,  #56874811900   #55421257800 , and JH  #55352715300  supervised histopathology analysis and contributed to study design;  #57189384526 ,  #55352715300 , and  #57210268800  contributed to the writing of the manuscript;  #57210268800  supervised the research design and laboratory activities.","[{Authorseq"":1,""auid"":57189384526,""given_name_pn"":""Sei Hee"",""surname_pn"":""Byun"",""initials_pn"":""S.H.""},{""Authorseq"":2,""auid"":56018299800,""given_name_pn"":""Jun Ho"",""surname_pn"":""Lee"",""initials_pn"":""J.H.""},{""Authorseq"":3,""auid"":55352715300,""given_name_pn"":""Nam Chul"",""surname_pn"":""Jung"",""initials_pn"":""N.C.""},{""Authorseq"":4,""auid"":57189390441,""given_name_pn"":""Hyun Ji"",""surname_pn"":""Choi"",""initials_pn"":""H.J.""},{""Authorseq"":5,""auid"":56874811900,""given_name_pn"":""Jie Young"",""surname_pn"":""Song"",""initials_pn"":""J.Y.""},{""Authorseq"":6,""auid"":34573228400,""given_name_pn"":""Han Geuk"",""surname_pn"":""Seo"",""initials_pn"":""H.G.""},{""Authorseq"":7,""auid"":8046741200,""given_name_pn"":""Jinjung"",""surname_pn"":""Choi"",""initials_pn"":""J.""},{""Authorseq"":8,""auid"":16304164100,""given_name_pn"":""Sang Youn"",""surname_pn"":""Jung"",""initials_pn"":""S.Y.""},{""Authorseq"":9,""auid"":55421257800,""given_name_pn"":""Sangjin"",""surname_pn"":""Kang"",""initials_pn"":""S.""},{""Authorseq"":10,""auid"":56593938300,""given_name_pn"":""Yong Soo"",""surname_pn"":""Choi"",""initials_pn"":""Y.S.""},{""Authorseq"":11,""auid"":57189388328,""given_name_pn"":""Ji Hyung"",""surname_pn"":""Chung"",""initials_pn"":""J.H.""},{""Authorseq"":12,""auid"":57210268800,""given_name_pn"":""Dae Seog"",""surname_pn"":""Lim"",""initials_pn"":""D.S.""}]"""
